code,tickers,name,industry
0700,0700.HK,TENCENT HOLDINGS LIMITED,Technology Services
80700,80700.HK,TENCENT HOLDINGS LIMITED,Technology Services
1398,1398.HK,INDUSTRIAL & COMMERCIAL BK OF CHINA,Finance
9988,9988.HK,ALIBABA GROUP HOLDING LTD,Retail Trade
89988,89988.HK,ALIBABA GROUP HOLDING LTD,Retail Trade
1288,1288.HK,AGRICULTURAL BANK OF CHINA,Finance
0857,0857.HK,PETROCHINA CO,Energy Minerals
0941,0941.HK,CHINA MOBILE LTD,Communications
0939,0939.HK,CHINA CONSTRUCTION BANK,Finance
80941,80941.HK,CHINA MOBILE LTD,Communications
3988,3988.HK,BANK OF CHINA LTD,Finance
0005,0005.HK,HSBC HOLDINGS PLC,Finance
3690,3690.HK,MEITUAN,Transportation
83690,83690.HK,MEITUAN,Transportation
2628,2628.HK,CHINA LIFE INSURANCE CO,Finance
3968,3968.HK,CHINA MERCHANTS BANK CO LTD,Finance
2318,2318.HK,PING AN INSURANCE(GROUP)CO.OF CHINA,Finance
82318,82318.HK,PING AN INSURANCE(GROUP)CO.OF CHINA,Finance
0883,0883.HK,CNOOC LIMITED,Energy Minerals
1211,1211.HK,BYD COMPANY LIMITED,Producer Manufacturing
80883,80883.HK,CNOOC LIMITED,Energy Minerals
81211,81211.HK,BYD COMPANY LIMITED,Producer Manufacturing
1088,1088.HK,CHINA SHENHUA ENERGY COMPANY LTD,Energy Minerals
6288,6288.HK,FAST RETAILING CO LTD HDR (1DR:0.01SHS),Retail Trade
4335,4335.HK,INTEL CORP,Electronic Technology
0386,0386.HK,CHINA PETROLEUM & CHEMICAL CORP,Energy Minerals
1810,1810.HK,XIAOMI CORPORATION,Electronic Technology
81810,81810.HK,XIAOMI CORPORATION,Electronic Technology
1299,1299.HK,AIA GROUP LIMITED,Finance
81299,81299.HK,AIA GROUP LIMITED,Finance
0728,0728.HK,CHINA TELECOM CORPORATION,Communications
0300,0300.HK,MIDEA GROUP CO LTD,Producer Manufacturing
3328,3328.HK,BANK OF COMMUNICATIONS CO LTD,Finance
2899,2899.HK,ZIJIN MINING GROUP CO.LTD,Non-Energy Minerals
1658,1658.HK,POSTAL SAVINGS BANK OF CHINA CO,Finance
6030,6030.HK,CITIC SECURITIES CO LTD,Finance
9618,9618.HK,JD.COM INC,Retail Trade
89618,89618.HK,JD.COM INC,Retail Trade
0388,0388.HK,HONG KONG EXCHANGES & CLEARING,Finance
80388,80388.HK,HONG KONG EXCHANGES & CLEARING,Finance
0945,0945.HK,MANULIFE FINANCIAL CORP,Finance
9999,9999.HK,NETEASE INC,Technology Services
9633,9633.HK,NONGFU SPRING CO LTD,Consumer Non-Durables
0981,0981.HK,SEMICONDUCTOR MANUFACTURING INTL CO,Electronic Technology
2601,2601.HK,CHINA PACIFIC INSURANCE (GROUP) CO.,Finance
0998,0998.HK,CHINA CITIC BANK CORPORATION LTD,Finance
9961,9961.HK,TRIP COM GROUP LTD,Consumer Services
1339,1339.HK,THE PEOPLE S INSURANCE COMPANY GROU,Finance
6690,6690.HK,HAIER SMART HOME CO LTD,Consumer Durables
2388,2388.HK,BOC HONG KONG(HLDGS) LTD,Finance
2328,2328.HK,PICC PROPERTY & CASUALTY CO,Finance
82388,82388.HK,BOC HONG KONG(HLDGS) LTD,Finance
0267,0267.HK,CITIC LIMITED,Finance
1919,1919.HK,COSCO SHIPPING HOLDINGS,Transportation
9888,9888.HK,BAIDU INC,Technology Services
89888,89888.HK,BAIDU INC,Technology Services
1766,1766.HK,CRRC CORPORATION LIMITED,Producer Manufacturing
0016,0016.HK,SUN HUNG KAI PROPERTIES LTD,Finance
80016,80016.HK,SUN HUNG KAI PROPERTIES LTD,Finance
2020,2020.HK,ANTA SPORTS PRODUCTS,Consumer Non-Durables
82020,82020.HK,ANTA SPORTS PRODUCTS,Consumer Non-Durables
1024,1024.HK,KUAISHOU TECHNOLOGY,Technology Services
2888,2888.HK,STANDARD CHARTERED PLC,Finance
81024,81024.HK,KUAISHOU TECHNOLOGY,Technology Services
2333,2333.HK,GREAT WALL MOTOR COMPANY LIMITED,Consumer Durables
2423,2423.HK,KE HOLDINGS INC,Finance
82333,82333.HK,GREAT WALL MOTOR COMPANY LIMITED,Consumer Durables
6818,6818.HK,CHINA EVERBRIGHT BANK CO LTD,Finance
1816,1816.HK,CGN POWER CO LTD,Utilities
0669,0669.HK,TECHTRONIC INDUSTRIES CO,Consumer Durables
0762,0762.HK,CHINA UNICOM (HONG KONG) LIMITED,Communications
6066,6066.HK,CSC FINANCIAL CO LTD,Finance
2015,2015.HK,LI AUTO INC,Consumer Durables
1109,1109.HK,CHINA RESOURCES LAND,Finance
0788,0788.HK,CHINA TOWER CORP LTD,Communications
3993,3993.HK,CMOC GROUP LIMITED,Distribution Services
6099,6099.HK,CHINA MERCHANTS SECURITIES CO LTD,Finance
6160,6160.HK,BEIGENE LTD,Health Technology
6886,6886.HK,HUATAI SECURITIES CO LTD,Finance
0011,0011.HK,HANG SENG BANK,Finance
80011,80011.HK,HANG SENG BANK,Finance
0066,0066.HK,MTR CORPORATION LTD,Transportation
2611,2611.HK,GUOTAI JUNAN SECURITIES CO LTD,Finance
1988,1988.HK,CHINA MINSHENG BANKING CORP,Finance
1800,1800.HK,CHINA COMMUNICATIONS CONSTRUCTION,Industrial Services
2378,2378.HK,PRUDENTIAL PLC,Finance
1898,1898.HK,CHINA COAL ENERGY COMPANY,Energy Minerals
0688,0688.HK,CHINA OVERSEAS LAND & INVESTMNTS,Finance
1928,1928.HK,SANDS CHINA LTD,Consumer Services
0002,0002.HK,CLP HOLDINGS LTD,Utilities
0390,0390.HK,CHINA RAILWAY GROUP LIMITED,Industrial Services
2359,2359.HK,WUXI APPTEC CO LTD,Health Technology
3606,3606.HK,FUYAO GLASS INDUSTRY GROUP CO. LTD.,Consumer Durables
0001,0001.HK,CK HUTCHISON HOLDINGS LIMITED,Retail Trade
0027,0027.HK,GALAXY ENTERTAINMENT GROUP LIMITED,Consumer Services
6881,6881.HK,CHINA GALAXY SECURITIES CO,Finance
1880,1880.HK,CHINA TOURISM GROUP DUTY FREE CORP,Retail Trade
0763,0763.HK,ZTE CORPORATION,Electronic Technology
6837,6837.HK,HAITONG SECURITIES CO LTD,Finance
0175,0175.HK,GEELY AUTOMOBILE HOLDINGS LIMITED,Consumer Durables
1698,1698.HK,TENCENT MUSIC ENTERTAINMENT GROUP,Technology Services
80175,80175.HK,GEELY AUTOMOBILE HOLDINGS LIMITED,Consumer Durables
1913,1913.HK,PRADA SPA,Consumer Non-Durables
3908,3908.HK,CHINA INTL CAPITAL CORPORATION LTD,Finance
1336,1336.HK,NEW CHINA LIFE INSURANCE CO LTD,Finance
0914,0914.HK,ANHUI CONCH CEMENT,Non-Energy Minerals
6806,6806.HK,SHENWAN HONGYUAN GROUP CO LTD,Finance
1171,1171.HK,YANKUANG ENERGY GROUP COMPANY LTD,Energy Minerals
2727,2727.HK,SHANGHAI ELECTRIC HOLDING GROUP CO,Producer Manufacturing
9987,9987.HK,YUM CHINA HOLDINGS INC,Consumer Services
2057,2057.HK,ZTO EXPRESS (CAYMAN) INC,Transportation
2600,2600.HK,ALUMINUM CORP OF CHINA(CHALCO),Distribution Services
1776,1776.HK,GF SECURITIES CO LTD,Finance
1186,1186.HK,CHINA RAILWAY CONSTRUCTION CORP,Industrial Services
0992,0992.HK,LENOVO GROUP LIMITED,Electronic Technology
1378,1378.HK,CHINA HONGQIAO GROUP LTD,Non-Energy Minerals
80992,80992.HK,LENOVO GROUP LIMITED,Electronic Technology
1038,1038.HK,CK INFRASTRUCTURE HOLDINGS LIMITED,Utilities
0012,0012.HK,HENDERSON LAND DEVELOPMENT CO,Finance
2338,2338.HK,WEICHAI POWER CO,Producer Manufacturing
0916,0916.HK,CHINA LONGYUAN POWER GROUP CORP LTD,Utilities
0753,0753.HK,AIR CHINA LTD,Transportation
1787,1787.HK,SHANDONG GOLD MINING CO LTD,Non-Energy Minerals
2202,2202.HK,CHINA VANKE CO. LTD,Finance
0003,0003.HK,HONGKONG & CHINA GAS CO. LTD.,Utilities
1113,1113.HK,CK ASSET HOLDINGS LTD,Finance
1876,1876.HK,BUDWEISER BREWING COMPANY APAC LTD,Consumer Non-Durables
0006,0006.HK,POWER ASSETS HOLDINGS LTD.,Utilities
1055,1055.HK,CHINA SOUTHERN AIRLINES COMPANY LTD,Transportation
0902,0902.HK,HUANENG POWER INTERNATIONAL INC,Utilities
3692,3692.HK,HANSOH PHARMACEUTICAL GROUP CO LTD,Health Technology
2618,2618.HK,JD LOGISTICS INC,Transportation
0291,0291.HK,CHINA RESOURCES BEER (HOLDINGS) CO,Consumer Non-Durables
80291,80291.HK,CHINA RESOURCES BEER (HOLDINGS) CO,Consumer Non-Durables
3958,3958.HK,DFZQ,Finance
1972,1972.HK,SWIRE PROPERTIES LTD,Finance
0836,0836.HK,CHINA RESOURCES POWER HLDGS CO,Utilities
9868,9868.HK,XPENG INC,Consumer Durables
2313,2313.HK,SHENZHOU INTERNATIONAL GROUP HLDGS,Consumer Non-Durables
6618,6618.HK,JD HEALTH INTERNATIONAL INC,Health Services
6862,6862.HK,HAIDILAO INTL HLDG LTD,Consumer Services
86618,86618.HK,JD HEALTH INTERNATIONAL INC,Health Services
9992,9992.HK,POP MART INTL GRP LTD,Consumer Services
0960,0960.HK,LONGFOR GROUP HLDGS LTD,Finance
1179,1179.HK,H WORLD GROUP LIMITED,Consumer Services
0168,0168.HK,TSINGTAO BREWERY CO,Consumer Non-Durables
0019,0019.HK,SWIRE PACIFIC,Consumer Non-Durables
0087,0087.HK,SWIRE PACIFIC,Consumer Non-Durables
6178,6178.HK,EVERBRIGHT SECURITIES COMPANY LTD,Finance
2016,2016.HK,CHINA ZHESHANG BANK CO. LTD,Finance
9866,9866.HK,NIO INC,Consumer Durables
9901,9901.HK,NEW ORIENTAL ED & TECHNOLOGY GP INC,Consumer Services
0285,0285.HK,BYD ELECTRONIC INTERNATIONAL CO. LT,Electronic Technology
0288,0288.HK,WH GROUP LIMITED,Consumer Non-Durables
0316,0316.HK,ORIENT OVERSEAS INT,Transportation
2238,2238.HK,GUANGZHOU AUTOMOBILE GROUP,Consumer Durables
1209,1209.HK,CHINA RESOURCES MIXC LIFEST SVS LTD,Finance
9626,9626.HK,BILIBILI INC,Technology Services
1929,1929.HK,CHOW TAI FOOK JEWELLERY GROUP LTD,Consumer Durables
6823,6823.HK,HKT TRUST AND HKT LTD,Communications
1618,1618.HK,METALLURGICAL CORP OF CHINA LTD,Industrial Services
1997,1997.HK,WHARF REAL ESTATE INVESTMENT CO LTD,Finance
