code,tickers,name,industry
RELIANCE.NS,RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy Minerals
TCS.NS,TCS.NS,TATA CONSULTANCY SERVICES LTD.,Technology Services
HDFCBANK.NS,HDFCBANK.NS,HDFC BANK LTD,Finance
AIRTELPP.E1.NS,AIRTELPP.E1.NS,AIRTEL RS. 1.25 PPD UP,Communications
BHARTIARTL.NS,BHARTIARTL.NS,BHARTI AIRTEL LTD.,Communications
AIRTELPP.NS,AIRTELPP.NS,BHARTI AIRTEL LTD.,Communications
ICICIBANK.NS,ICICIBANK.NS,ICICI BANK LTD.,Finance
SBIN.NS,SBIN.NS,STATE BANK OF INDIA,Finance
INFY.NS,INFY.NS,INFOSYS LTD,Technology Services
ITC.NS,ITC.NS,ITC LTD,Consumer Non-Durables
HINDUNILVR.NS,HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Non-Durables
LICI.NS,LICI.NS,LIFE INSURANCE CORPORATION OF,Finance
LT.NS,LT.NS,LARSEN & TOUBRO LTD.,Industrial Services
HCLTECH.NS,HCLTECH.NS,HCL TECHNOLOGIES LTD.,Technology Services
SUNPHARMA.NS,SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Health Technology
BAJFINANCE.NS,BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Finance
NTPC.NS,NTPC.NS,NTPC LTD,Utilities
AXISBANK.NS,AXISBANK.NS,AXIS BANK LTD,Finance
M_M.NS,M_M.NS,MAHINDRA & MAHINDRA LTD,Consumer Durables
MARUTI.NS,MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Durables
KOTAKBANK.NS,KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Finance
ONGC.NS,ONGC.NS,OIL AND NATURAL GAS CORP.,Energy Minerals
ADANIENT.NS,ADANIENT.NS,ADANI ENTERPRISES LTD.,Distribution Services
ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRATECH CEMENT LTD.,Non-Energy Minerals
TATAMOTORS.NS,TATAMOTORS.NS,TATA MOTORS LTD,Consumer Durables
POWERGRID.NS,POWERGRID.NS,POWER GRID CORPORATION OF INDI,Utilities
ADANIPORTS.NS,ADANIPORTS.NS,ADANI PORTS AND SPECIAL ECONOM,Transportation
TITAN.NS,TITAN.NS,TITAN COMPANY LTD,Consumer Durables
HAL.NS,HAL.NS,HINDUSTAN AERONAUTICS LIMITED,Electronic Technology
WIPRO.NS,WIPRO.NS,WIPRO LTD,Technology Services
ASIANPAINT.NS,ASIANPAINT.NS,ASIAN PAINTS LTD,Process Industries
BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJ FINSERV LTD.,Finance
BAJAJ_AUTO.NS,BAJAJ_AUTO.NS,BAJAJ AUTO LTD,Consumer Durables
COALINDIA.NS,COALINDIA.NS,COAL INDIA LTD.,Energy Minerals
ADANIGREEN.NS,ADANIGREEN.NS,ADANI GREEN ENERGY LIMITED,Utilities
DMART.NS,DMART.NS,AVENUE SUPERMARTS LIMITED,Retail Trade
TRENT.NS,TRENT.NS,TRENT LTD.,Retail Trade
SIEMENS.NS,SIEMENS.NS,SIEMENS LTD,Producer Manufacturing
JSWSTEEL.NS,JSWSTEEL.NS,JSW STEEL LTD.,Non-Energy Minerals
HINDZINC.NS,HINDZINC.NS,HINDUSTAN ZINC LTD.,Non-Energy Minerals
ADANIPOWER.NS,ADANIPOWER.NS,ADANI POWER LTD,Utilities
NESTLEIND.NS,NESTLEIND.NS,NESTLE INDIA LTD,Consumer Non-Durables
ZOMATO.NS,ZOMATO.NS,ZOMATO LTD,Transportation
BEL.NS,BEL.NS,BHARAT ELECTRONICS LTD.,Electronic Technology
JIOFIN.NS,JIOFIN.NS,JIO FIN SERVICES LTD,Finance
IOC.NS,IOC.NS,INDIAN OIL CORP LTD,Energy Minerals
IRFC.NS,IRFC.NS,INDIAN RAILWAY FIN CORP L,Finance
DLF.NS,DLF.NS,DLF LTD.,Finance
VBL.NS,VBL.NS,VARUN BEVERAGES LTD,Consumer Non-Durables
TATASTEEL.NS,TATASTEEL.NS,TATA STEEL LTD,Non-Energy Minerals
VEDL.NS,VEDL.NS,VEDANTA LIMITED,Non-Energy Minerals
GRASIMPP1.E1.NS,GRASIMPP1.E1.NS,GRASIM RE. 1 PPD UP,Non-Energy Minerals
GRASIM.NS,GRASIM.NS,GRASIM INDUSTRIES LTD,Non-Energy Minerals
GRASIMPP.NS,GRASIMPP.NS,GRASIM INDUSTRIES LTD,Non-Energy Minerals
LTIM.NS,LTIM.NS,LTIMINDTREE LIMITED,Commercial Services
SBILIFE.NS,SBILIFE.NS,SBI LIFE INSURANCE COMPANY LIM,Finance
TECHM.NS,TECHM.NS,TECH MAHINDRA LTD.,Technology Services
PIDILITIND.NS,PIDILITIND.NS,PIDILITE INDUSTRIES LTD.,Process Industries
HINDALCO.NS,HINDALCO.NS,HINDALCO INDUSTRIES LTD,Non-Energy Minerals
HDFCLIFE.NS,HDFCLIFE.NS,HDFC LIFE INS CO LTD,Finance
DIVISLAB.NS,DIVISLAB.NS,DIVIS LABORATORIES LTD.,Health Technology
