code,tickers,name
1360,1360.T,Nikkei225 Bear -2x
1459,1459.T,Rakuten Nikkei 225 Double Inverse
1615,1615.T,Nomura TSE Bank Listed
1568,1568.T,TOPIX Bull 2x
1570,1570.T,NEXT FUNDS Nikkei 225 Leveraged Index
1475,1475.T,iShares Core TOPIX
1306,1306.T,Nomura TOPIX Listed
1655,1655.T,iShares S&P 500
1356,1356.T,TOPIX Bear -2x
1366,1366.T,Daiwa ETF Japan Nikkei 225 Double Inverse
1678,1678.T,NEXT FUNDS Nifty 50 Linked
1357,1357.T,NEXT FUNDS Nikkei 225 Double Inverse Index
1571,1571.T,NEXT FUNDS Nikkei 225 Inverse Index
314A,314A.T,iShares Gold
316A,316A.T,iFreeETF FANG+
2621,2621.T,iShares 20+ Year US Treasury Bond JPY Hedged
1489,1489.T,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50
2644,2644.T,Global X Japan Semiconductor
2013,2013.T,iShares US High Dividend
2563,2563.T,iShares S&P 500 JPY Hedged
2255,2255.T,iShares 20+ Year US Treasury Bond
318A,318A.T,SIMPLEX VIX Short-Term Futures
221A,221A.T,MAXIS Nikkei Semiconductor Stock (Japan)
1321,1321.T,Nomura Nikkei 225 Listed
1540,1540.T,Mitsubishi Japan Physical Gold
2865,2865.T,Global X Nasdaq 100 Covered Call
2516,2516.T,TSE Mothers
1458,1458.T,Rakuten Nikkei 225 Leveraged
282A,282A.T,Global X Japan Semiconductor Top 10
1305,1305.T,Daiwa ETF TOPIX Listed
1308,1308.T,Nikko TOPIX Listed
1580,1580.T,Simplex Nikkei 225 Bear -1x
237A,237A.T,iShares 25+ Year US Treasury Bond Long Duration
2014,2014.T,iShares US Dividend Growth
2244,2244.T,Global X US Tech Top 20
1343,1343.T,NEXT FUNDS REIT Index
313A,313A.T,iShares S&P 500 Top 20
2633,2633.T,NEXT FUNDS S&P 500 (Unhedged) Exchange Traded
200A,200A.T,NEXT FUNDS Nikkei Semiconductor Stock Index Exchan
213A,213A.T,Listed Index Fund Nikkei Semiconductor Stock
133A,133A.T,Global X Ultra Short-Term T-Bill
2243,2243.T,Global X Semiconductor
2017,2017.T,iFreeETF JPX Prime 150
2248,2248.T,iFreeETF S&P500 (JPY HEDGED)
2254,2254.T,Global X China Electric Vehicle and Battery
2011,2011.T,SMDAM Active Japan High Dividend Equity
201A,201A.T,iShares Nifty 50
1569,1569.T,TOPIX Bear -1x
1329,1329.T,iShares Core Nikkei 225
1368,1368.T,Daiwa ETF Japan TOPIX Double Inverse (-2x)
1488,1488.T,Daiwa ETF Tokyo Stock Exchange REIT Index
2840,2840.T,iFreeETF NASDAQ100 (NON HEDGED)
1656,1656.T,iShares Core 7-10 US Treasury Bond
346A,346A.T,NEXT FUNDS S&P 500 Semiconductors & Semiconductor
1330,1330.T,Nikko Nikkei 225 Listed
1699,1699.T,NEXT FUNDS NOMURA Crude Oil Long Index Linked
238A,238A.T,iShares 25+ Year US Treasury Bond Long Duration JP
2085,2085.T,MAXIS High Dividend Japan Equity Actively Managed
1320,1320.T,Daiwa ETF Nikkei 225 Listed
2634,2634.T,NEXT FUNDS S&P 500 (Yen-Hedged) Exchange Traded Fu
2866,2866.T,Global X U.S. Preferred Security
1348,1348.T,MAXIS TOPIX
2868,2868.T,Global X S&P 500 Covered Call
2247,2247.T,iFreeETF S&P500 (NON HEDGED)
2870,2870.T,iFreeETF NASDAQ100 Double Inverse(-2x)
2569,2569.T,Listed Index Fund US Equity (NASDAQ100) Currency H
2038,2038.T,NEXT NOTES Nikkei-TOCOM Leveraged Crude Oil
1482,1482.T,iShares Core US Treasury Bond 7-10 Year JPY Hedged
2510,2510.T,NEXT FUNDS Japan Bond NOMURA-BPI
178A,178A.T,Global X Innovative Bluechip Top 10+
2016,2016.T,iFreeETF US Treasury Bond 7-10 Year (JPY Hedged)
2012,2012.T,iShares 0-3 Month US Treasury Bond
1365,1365.T,Daiwa ETF Japan Nikkei 225 Leveraged
1369,1369.T,DIAM Nikkei 225
179A,179A.T,Global X 25+ Year T-Bond (JPY Hedged)
283A,283A.T,Global X US Tech Dividend Aristocrats
1671,1671.T,Simplex WTI
2860,2860.T,NEXT FUNDS German Equity DAX (Yen-Hedged) Exchange
2841,2841.T,iFreeETF NASDAQ100 (JPY HEDGED)
159A,159A.T,NEXT FUNDS JPX Prime 150 Index Exchange Traded Fun
2080,2080.T,PBR Improvement over 1x
1597,1597.T,MAXIS J-REIT
1563,1563.T,Simplex TSE Mothers Core
2018,2018.T,Global X US REIT Top 20
1478,1478.T,iShares MSCI Japan High Dividend
1545,1545.T,NEXT FUNDS NASDAQ-100
1476,1476.T,iShares Core Japan REIT
2859,2859.T,NEXT FUNDS EURO STOXX 50 (Yen-Hedged) Exchange Tra
1328,1328.T,Nomura Gold Price Linked
223A,223A.T,Global X Artificial Intelligence & Technology
1358,1358.T,Nikko Listed Index Fund Nikkei Leveraged
1472,1472.T,NEXT FUNDS JPX-Nikkei 400 Double Inverse Index
1547,1547.T,Listed Index Fund US Equity (S&P500)
2556,2556.T,AM-One One ETF Tokyo Stock Exchange REIT
