code,tickers,market,name
007160,007160.KS,KOSPI,SajoInd
004970,004970.KS,KOSPI,Silla
054050,054050.KQ,KOSDAQ,N.W BIO
030720,030720.KS,KOSPI,DongwonFish
154030,154030.KQ,KOSDAQ,ASIA SEED
024110,024110.KS,KOSPI,IBK
323410,323410.KS,KOSPI,KakaoBank
006220,006220.KS,KOSPI,Jeju BK
035760,035760.KQ,KOSDAQ,CJ ENM
122450,122450.KQ,KOSDAQ,KX
048550,048550.KQ,KOSDAQ,SM C&C
066790,066790.KQ,KOSDAQ,CCS
040300,040300.KQ,KOSDAQ,YTN
039340,039340.KQ,KOSDAQ,Korea Economic Broadcasting
408900,408900.KQ,KOSDAQ,MIR
058400,058400.KQ,KOSDAQ,KNN
033830,033830.KQ,KOSDAQ,TBC
131100,131100.KQ,KOSDAQ,TN entertainment
051910,051910.KS,KOSPI,LGCHEM
090430,090430.KS,KOSPI,AMOREPACIFIC
096770,096770.KS,KOSPI,SK Innovation
010950,010950.KS,KOSPI,S-Oil
011790,011790.KS,KOSPI,SKC
051900,051900.KS,KOSPI,LG H&H
348370,348370.KQ,KOSDAQ,Enchem
161390,161390.KS,KOSPI,HANKOOK TIRE & TECHNOLOGY
009830,009830.KS,KOSPI,HANWHA SOLUTIONS
005070,005070.KS,KOSPI,CosmoAM&T
001570,001570.KS,KOSPI,Kumyang
011170,011170.KS,KOSPI,LOTTE CHEMICAL Corp
011780,011780.KS,KOSPI,KumhoPetrochem
278470,278470.KS,KOSPI,APR
002790,002790.KS,KOSPI,AmoreG
002380,002380.KS,KOSPI,KCC
357780,357780.KQ,KOSDAQ,Soulbrain
192820,192820.KS,KOSPI,COSMAX
000880,000880.KS,KOSPI,Hanwha
014680,014680.KS,KOSPI,Hanchem
051915,051915.KS,KOSPI,LGCHEM(1P)
073240,073240.KS,KOSPI,KUMHOTIRE
457190,457190.KS,KOSPI,ISUSPECIALTYCHEMICAL
161890,161890.KS,KOSPI,KOLMAR KOREA
298020,298020.KS,KOSPI,HYOSUNG TNC
121600,121600.KQ,KOSDAQ,ANP
298050,298050.KS,KOSPI,HYOSUNG ADVANCED
018290,018290.KQ,KOSDAQ,VT
014820,014820.KS,KOSPI,DWS
281740,281740.KQ,KOSDAQ,LAKE
004000,004000.KS,KOSPI,LOTTE Fine Chem
000210,000210.KS,KOSPI,DL
005420,005420.KS,KOSPI,COSMOCHEM
120110,120110.KS,KOSPI,KOLON IND
383310,383310.KQ,KOSDAQ,ECOPRO HN
352480,352480.KQ,KOSDAQ,C&C INTERNATIONAL
008730,008730.KS,KOSPI,YoulchonChem
365340,365340.KQ,KOSDAQ,SungEel HiTech
002840,002840.KS,KOSPI,MiwonComcl
456040,456040.KS,KOSPI,OCI
006650,006650.KS,KOSPI,KPIC
285130,285130.KS,KOSPI,SKCHEM
093370,093370.KS,KOSPI,FOOSUNG
069260,069260.KS,KOSPI,TKG Huchems
002350,002350.KS,KOSPI,NEXENTIRE
278280,278280.KQ,KOSDAQ,Chunbo
001340,001340.KS,KOSPI,PaikkwangInd
237880,237880.KQ,KOSDAQ,CLIO Cosmetics
178920,178920.KS,KOSPI,PIAM
241710,241710.KQ,KOSDAQ,COSMECCA KOREA
268280,268280.KS,KOSPI,MIWON SC
048410,048410.KQ,KOSDAQ,HDBIO
014830,014830.KS,KOSPI,UNID
003240,003240.KS,KOSPI,TaekwangInd
114840,114840.KQ,KOSDAQ,IFAMILYSC
018250,018250.KS,KOSPI,AEKYUNG INDUSTRIAL
161000,161000.KS,KOSPI,AK CHEMICAL
006380,006380.KS,KOSPI,CAPRO
101360,101360.KQ,KOSDAQ,Eco&Dream
017860,017860.KS,KOSPI,DS Dansuk
090435,090435.KS,KOSPI,AMOREPACIFIC(1P)
251970,251970.KQ,KOSDAQ,PUM-TECH KOREA
950140,950140.KQ,KOSDAQ,Englewood Lab
439090,439090.KQ,KOSDAQ,Manyo
102710,102710.KQ,KOSDAQ,ENF
089010,089010.KQ,KOSDAQ,CHEMTRON
151860,151860.KQ,KOSDAQ,KG Eco Solution
002960,002960.KS,KOSPI,HankookShellOil
089980,089980.KQ,KOSDAQ,SFTC
115390,115390.KS,KOSPI,L&L
214420,214420.KS,KOSPI,TONYMOLY
108670,108670.KS,KOSPI,LX HAUSYS
033500,033500.KQ,KOSDAQ,DONGSUNG FINETEC
226320,226320.KS,KOSPI,ITSHANBUL
025860,025860.KS,KOSPI,NamhaeChem
001390,001390.KS,KOSPI,KGC
051905,051905.KS,KOSPI,LG H&H(1P)
00088K,00088K.KS,KOSPI,HANWHA(3PB)
007690,007690.KS,KOSPI,KukdoChem
004430,004430.KS,KOSPI,SongwonInd
357550,357550.KQ,KOSDAQ,Sukgyung
035150,035150.KS,KOSPI,Baiksan
138490,138490.KS,KOSPI,KOLON ENP
272550,272550.KS,KOSPI,SAMYANG PACKAGING
078520,078520.KS,KOSPI,ABLE C&C
030530,030530.KQ,KOSDAQ,WONIK HOLDINGS
086710,086710.KQ,KOSDAQ,SBS
003350,003350.KS,KOSPI,HKCManufacture
092730,092730.KQ,KOSDAQ,Neopharm
005720,005720.KS,KOSPI,NEXEN
011500,011500.KS,KOSPI,HANNONG
005950,005950.KS,KOSPI,IsuChem
453860,453860.KQ,KOSDAQ,ASTech
126600,126600.KQ,KOSDAQ,BGF Ecomaterials
107600,107600.KQ,KOSDAQ,Sebitchem
092230,092230.KS,KOSPI,KPXHOLDINGS
008490,008490.KS,KOSPI,SUHEUNG
081000,081000.KS,KOSPI,ILJIN DIAMOND
298000,298000.KS,KOSPI,HYOSUNG CHEM
092070,092070.KQ,KOSDAQ,DNF
025000,025000.KS,KOSPI,KPXCHEMICAL
017890,017890.KQ,KOSDAQ,KAI
006060,006060.KS,KOSPI,HSInd
000390,000390.KS,KOSPI,SamhwaPaint
451250,451250.KQ,KOSDAQ,BBIA
011785,011785.KS,KOSPI,KumhoPetrochem(1P)
002100,002100.KS,KOSPI,Kyungnong
090350,090350.KS,KOSPI,NOROOPAINT
220260,220260.KQ,KOSDAQ,Chemtros
226340,226340.KQ,KOSDAQ,Bonne
010955,010955.KS,KOSPI,S-Oil(1P)
004250,004250.KS,KOSPI,NPC
083420,083420.KS,KOSPI,GREEN CHEMICAL
100250,100250.KS,KOSPI,Chinyang Holdings
134380,134380.KS,KOSPI,MCC
282690,282690.KS,KOSPI,DONG AH TIRE
015890,015890.KS,KOSPI,TaekyungInd
006890,006890.KS,KOSPI,TAEKYUNGCHEMICAL
251370,251370.KQ,KOSDAQ,YMT
239890,239890.KQ,KOSDAQ,P&H TECH
00279K,00279K.KS,KOSPI,AMOREG(3PC)
420570,420570.KQ,KOSDAQ,J2KBIO
260930,260930.KQ,KOSDAQ,CTK
052260,052260.KQ,KOSDAQ,HYUNDAI BIOLAND
000860,000860.KS,KOSPI,KANGNAM JEVISCO
104480,104480.KQ,KOSDAQ,TK CHEMICAL
055490,055490.KS,KOSPI,TAPEX
003830,003830.KS,KOSPI,DaehanSynthFibr
027050,027050.KQ,KOSDAQ,COREANA
012610,012610.KS,KOSPI,KyunginSynth
014530,014530.KS,KOSPI,KukdongOil&Chem.
004830,004830.KS,KOSPI,Duksung
003650,003650.KS,KOSPI,MichangOil
089470,089470.KS,KOSPI,HDCHEP
079980,079980.KS,KOSPI,HUVIS
003720,003720.KS,KOSPI,SAMYOUNG
023450,023450.KS,KOSPI,DONGNAMCHEMICAL
041930,041930.KQ,KOSDAQ,DONGAHWASUNG
120240,120240.KQ,KOSDAQ,DAEJUNG C&M
137950,137950.KQ,KOSDAQ,JC Chemical
163560,163560.KS,KOSPI,DRB Industrial
214260,214260.KQ,KOSDAQ,RAPHAS
004840,004840.KS,KOSPI,DRB Holding
352090,352090.KQ,KOSDAQ,Stormtec
027580,027580.KQ,KOSDAQ,SBK
171120,171120.KQ,KOSDAQ,LION CHEMTECH
096775,096775.KS,KOSPI,SK Innovation(1P)
036640,036640.KQ,KOSDAQ,HRS
406820,406820.KQ,KOSDAQ,BEAUTYSKIN
007590,007590.KS,KOSPI,DongbangAgro
004910,004910.KS,KOSPI,ChokwangPaint
036670,036670.KQ,KOSDAQ,KCI
049550,049550.KQ,KOSDAQ,InkTec
265740,265740.KQ,KOSDAQ,NFC
136410,136410.KQ,KOSDAQ,ASSEMS
003780,003780.KS,KOSPI,Chinyang Industry
080530,080530.KQ,KOSDAQ,KODI
002795,002795.KS,KOSPI,AmoreG(1P)
083660,083660.KQ,KOSDAQ,CSA Cosmic
037370,037370.KQ,KOSDAQ,EG
014440,014440.KS,KOSPI,YoungboChem
002760,002760.KS,KOSPI,Bolak
318410,318410.KQ,KOSDAQ,BBC
002360,002360.KS,KOSPI,SH ENERCHEM
318000,318000.KQ,KOSDAQ,KBG
060230,060230.KQ,KOSDAQ,Sonid
001550,001550.KS,KOSPI,Chobi
285800,285800.KQ,KOSDAQ,JINYOUNG
097870,097870.KQ,KOSDAQ,HYOSUNG ONB
294140,294140.KQ,KOSDAQ,LEMON
