code,tickers,name
466400,466400.KS,1Q 25-08 회사채(A+이상)액티브
491610,491610.KS,1Q CD금리액티브(합성)
451060,451060.KS,1Q K200액티브
463290,463290.KS,1Q 단기금융채액티브
479080,479080.KS,1Q 머니마켓액티브
0026S0,0026S0.KS,1Q 미국S&P500
0004G0,0004G0.KS,1Q 미국배당30
0017Y0,0017Y0.KS,1Q 종합채권(AA-이상)액티브
472350,472350.KS,1Q 차이나H(H)
495330,495330.KS,1Q 코리아밸류업
492500,492500.KS,1Q 현대차그룹채권(A+이상)&국고통안
473440,473440.KS,ACE 11월만기자동연장회사채AA-이상액티브
105190,105190.KS,ACE 200
332500,332500.KS,ACE 200TR
461260,461260.KS,ACE 25-06 회사채(AA-이상)액티브
461270,461270.KS,ACE 26-06 회사채(AA-이상)액티브
475260,475260.KS,ACE 2월만기자동연장회사채AA-이상액티브
385600,385600.KS,ACE 2차전지&친환경차액티브
475270,475270.KS,ACE 5월만기자동연장회사채AA-이상액티브
475280,475280.KS,ACE 8월만기자동연장회사채AA-이상액티브
469150,469150.KS,ACE AI반도체포커스
487340,487340.KS,ACE CD금리&초단기채권액티브
385590,385590.KS,ACE ESG액티브
000010,000010.KS,ACE FTSE WGBI Korea
380340,380340.KS,ACE Fn5G플러스
226380,226380.KS,ACE Fn성장소비주도주
475050,475050.KS,ACE KPOP포커스
411060,411060.KS,ACE KRX금현물
0021D0,0021D0.KS,ACE TDF2030액티브
000021,000021.KS,ACE TDF2050액티브
225130,225130.KS,ACE 골드선물 레버리지(합성 H)
483340,483340.KS,ACE 구글밸류체인액티브
365780,365780.KS,ACE 국고채10년
114460,114460.KS,ACE 국고채3년
494340,494340.KS,ACE 글로벌AI맞춤형반도체
411050,411050.KS,ACE 글로벌메타버스테크액티브
446770,446770.KS,ACE 글로벌반도체TOP4 Plus SOLACTIVE
435040,435040.KS,ACE 글로벌브랜드TOP10블룸버그
497510,497510.KS,ACE 글로벌빅파마
460960,460960.KS,ACE 글로벌인컴TOP10 SOLACTIVE
414270,414270.KS,ACE 글로벌자율주행액티브
440640,440640.KS,ACE 단기채권알파액티브
190620,190620.KS,ACE 단기통안채
494330,494330.KS,ACE 라이프자산주주가치액티브
265690,265690.KS,ACE 러시아MSCI(합성)
152500,152500.KS,ACE 레버리지
483330,483330.KS,ACE 마이크로소프트밸류체인액티브
291130,291130.KS,ACE 멕시코MSCI(합성)
452250,452250.KS,ACE 미국30년국채선물레버리지(합성 H)
476760,476760.KS,ACE 미국30년국채액티브
453850,453850.KS,ACE 미국30년국채액티브(H)
476750,476750.KS,ACE 미국30년국채엔화노출액티브(H)
480030,480030.KS,ACE 미국500데일리타겟커버드콜(합성)
280320,280320.KS,ACE 미국IT인터넷S&P(합성 H)
360200,360200.KS,ACE 미국S&P500
438080,438080.KS,ACE 미국S&P500채권혼합액티브
309230,309230.KS,ACE 미국WideMoat동일가중
367380,367380.KS,ACE 미국나스닥100
438100,438100.KS,ACE 미국나스닥100채권혼합액티브
456880,456880.KS,ACE 미국달러SOFR금리(합성)
440650,440650.KS,ACE 미국달러단기채권액티브
480040,480040.KS,ACE 미국반도체데일리타겟커버드콜(합성)
402970,402970.KS,ACE 미국배당다우존스
181480,181480.KS,ACE 미국부동산리츠(합성 H)
480020,480020.KS,ACE 미국빅테크7+데일리타겟커버드콜(합성)
465580,465580.KS,ACE 미국빅테크TOP7 Plus
465610,465610.KS,ACE 미국빅테크TOP7 Plus레버리지(합성)
465620,465620.KS,ACE 미국빅테크TOP7 Plus인버스(합성)
473590,473590.KS,ACE 미국주식베스트셀러
000008,000008.KS,ACE 미국중심중소형제조업
391600,391600.KS,ACE 미국친환경그린테마INDXX
455660,455660.KS,ACE 미국하이일드액티브(H)
245710,245710.KS,ACE 베트남VN30(합성)
131890,131890.KS,ACE 삼성그룹동일가중
108450,108450.KS,ACE 삼성그룹섹터가중
316300,316300.KS,ACE 싱가포르리츠
277540,277540.KS,ACE 아시아TOP50S&P
483420,483420.KS,ACE 애플밸류체인액티브
483320,483320.KS,ACE 엔비디아밸류체인액티브
448540,448540.KS,ACE 엔비디아채권혼합블룸버그
433500,433500.KS,ACE 원자력테마딥서치
256440,256440.KS,ACE 인도네시아MSCI(합성)
487920,487920.KS,ACE 인도시장대표BIG5그룹액티브
487910,487910.KS,ACE 인도컨슈머파워액티브
145670,145670.KS,ACE 인버스
497520,497520.KS,ACE 일라이릴리밸류체인
238720,238720.KS,ACE 일본Nikkei225(H)
196030,196030.KS,ACE 일본TOPIX레버리지(H)
205720,205720.KS,ACE 일본TOPIX인버스(합성 H)
469160,469160.KS,ACE 일본반도체
0021C0,0021C0.KS,ACE 장기자산배분액티브
356540,356540.KS,ACE 종합채권(AA-이상)KIS액티브
447430,447430.KS,ACE 주주환원가치주액티브
416090,416090.KS,ACE 중국과창판STAR50
168580,168580.KS,ACE 중국본토CSI300
219900,219900.KS,ACE 중국본토CSI300레버리지(합성)
272910,272910.KS,ACE 중장기국공채액티브
371870,371870.KS,ACE 차이나항셍테크
496120,496120.KS,ACE 코리아밸류업
354500,354500.KS,ACE 코스닥150
305050,305050.KS,ACE 코스피
457480,457480.KS,ACE 테슬라밸류체인액티브
469170,469170.KS,ACE 포스코그룹포커스
261920,261920.KS,ACE 필리핀MSCI(합성)
495710,495710.KS,BNK 26-06 특수채(AAA이상)액티브
466810,466810.KS,BNK 2차전지양극재
457930,457930.KS,BNK 미래전략기술액티브
487750,487750.KS,BNK 온디바이스AI
445690,445690.KS,BNK 주주가치액티브
486240,486240.KS,DAISHIN343 AI반도체&인프라액티브
434960,434960.KS,DAISHIN343 K200
448570,448570.KS,FOCUS AI코리아액티브
285690,285690.KS,FOCUS ESG리더스
292730,292730.KS,FOCUS KRX300
293180,293180.KS,HANARO 200
407310,407310.KS,HANARO 200 TOP10
332930,332930.KS,HANARO 200TR
304780,304780.KS,HANARO 200선물레버리지
486780,486780.KS,HANARO 200선물레버리지1.5X
306520,306520.KS,HANARO 200선물인버스
489570,489570.KS,HANARO 25-12 은행채(AA+이상)액티브
448490,448490.KS,HANARO 32-10 국고채액티브
454320,454320.KS,HANARO CAPEX설비투자iSelect
471290,471290.KS,HANARO CD금리액티브(합성)
395290,395290.KS,HANARO Fn K-POP&미디어
395280,395280.KS,HANARO Fn K-게임
368190,368190.KS,HANARO Fn K-뉴딜디지털플러스
402460,402460.KS,HANARO Fn K-메타버스MZ
395270,395270.KS,HANARO Fn K-반도체
438900,438900.KS,HANARO Fn K-푸드
367740,367740.KS,HANARO Fn5G산업
407300,407300.KS,HANARO Fn골프테마
381560,381560.KS,HANARO Fn전기&수소차
441540,441540.KS,HANARO Fn조선해운
381570,381570.KS,HANARO Fn친환경에너지
479850,479850.KS,HANARO K-뷰티
346000,346000.KS,HANARO KAP초장기국고채
453060,453060.KS,HANARO KOFR금리액티브(합성)
304760,304760.KS,HANARO KRX300
332940,332940.KS,HANARO MSCI Korea TR
322400,322400.KS,HANARO e커머스
322410,322410.KS,HANARO 고배당
473640,473640.KS,HANARO 글로벌금채굴기업
354350,354350.KS,HANARO 글로벌럭셔리S&P(합성)
464060,464060.KS,HANARO 글로벌반도체TOP10 SOLACTIVE
432850,432850.KS,HANARO 글로벌백신치료제MSCI
461340,461340.KS,HANARO 글로벌생성형AI액티브
424460,424460.KS,HANARO 글로벌워터MSCI(합성)
401590,401590.KS,HANARO 글로벌탄소배출권선물ICE(합성)
314700,314700.KS,HANARO 농업융복합산업
486830,486830.KS,HANARO 머니마켓액티브
432840,432840.KS,HANARO 미국S&P500
419170,419170.KS,HANARO 미국메타버스iSelect
472490,472490.KS,HANARO 미국애그테크
498050,498050.KS,HANARO 바이오코리아액티브
476260,476260.KS,HANARO 반도체핵심공정주도주
434730,434730.KS,HANARO 원자력iSelect
491820,491820.KS,HANARO 전력설비투자
461500,461500.KS,HANARO 종합채권(AA-이상)액티브
482870,482870.KS,HANARO 주주가치성장코리아액티브
495750,495750.KS,HANARO 코리아밸류업
304770,304770.KS,HANARO 코스닥150
306530,306530.KS,HANARO 코스닥150선물레버리지
486790,486790.KS,HANARO 코스닥150선물레버리지1.5X
375760,375760.KS,HANARO 탄소효율그린뉴딜
491700,491700.KS,HK 200
0000Y0,0000Y0.KS,HK 26-12 회사채(AA-이상)액티브
215620,215620.KS,HK S&P코리아로우볼
391670,391670.KS,HK 베스트일레븐액티브
472920,472920.KS,HK 종합채권(AA-이상)액티브
472840,472840.KS,ITF 200
0005G0,0005G0.KS,ITF K-AI반도체코어테크
483570,483570.KS,KCGI 미국S&P500 TOP10
407170,407170.KS,KCGI 스마트커머스액티브
407160,407160.KS,KCGI 테크미디어텔레콤액티브
069660,069660.KS,KIWOOM 200
294400,294400.KS,KIWOOM 200TR
253250,253250.KS,KIWOOM 200선물레버리지
253240,253240.KS,KIWOOM 200선물인버스
253230,253230.KS,KIWOOM 200선물인버스2X
467620,467620.KS,KIWOOM 25-09 미국채권(AA-이상)액티브
489870,489870.KS,KIWOOM 25-09 회사채(AA-이상)액티브
464240,464240.KS,KIWOOM 26-09회사채(AA-이상)액티브
458210,458210.KS,KIWOOM CD금리액티브(합성)
460280,460280.KS,KIWOOM Fn유전자혁신기술
488200,488200.KS,KIWOOM K-2차전지북미공급망
488210,488210.KS,KIWOOM K-반도체북미공급망
469790,469790.KS,KIWOOM K-테크TOP10
100910,100910.KS,KIWOOM KRX100
450120,450120.KS,KIWOOM SK그룹대표주
435530,435530.KS,KIWOOM TDF2030액티브
435540,435540.KS,KIWOOM TDF2040액티브
435550,435550.KS,KIWOOM TDF2050액티브
104530,104530.KS,KIWOOM 고배당
148070,148070.KS,KIWOOM 국고채10년
167860,167860.KS,KIWOOM 국고채10년레버리지
471460,471460.KS,KIWOOM 국고채30년액티브
114470,114470.KS,KIWOOM 국고채3년
473490,473490.KS,KIWOOM 글로벌AI반도체
437550,437550.KS,KIWOOM 글로벌리츠이지스액티브
489860,489860.KS,KIWOOM 글로벌전력GRID인프라
473500,473500.KS,KIWOOM 글로벌전력반도체
394350,394350.KS,KIWOOM 글로벌퓨처모빌리티
130730,130730.KS,KIWOOM 단기자금
419890,419890.KS,KIWOOM 단기채권ESG액티브
411860,411860.KS,KIWOOM 독일DAX
429870,429870.KS,KIWOOM 리츠이지스액티브
476450,476450.KS,KIWOOM 머니마켓액티브
430500,430500.KS,KIWOOM 물가채KIS
426330,426330.KS,KIWOOM 미국ETF산업STOXX
449770,449770.KS,KIWOOM 미국S&P500
449780,449780.KS,KIWOOM 미국S&P500(H)
453080,453080.KS,KIWOOM 미국나스닥100(H)
460270,460270.KS,KIWOOM 미국달러SOFR금리액티브(합성)
138230,138230.KS,KIWOOM 미국달러선물
225800,225800.KS,KIWOOM 미국달러선물레버리지
139660,139660.KS,KIWOOM 미국달러선물인버스
230480,230480.KS,KIWOOM 미국달러선물인버스2X
373790,373790.KS,KIWOOM 미국방어배당성장나스닥
483030,483030.KS,KIWOOM 미국블록버스터바이오테크의약품+
459790,459790.KS,KIWOOM 미국성장기업30액티브
498270,498270.KS,KIWOOM 미국양자컴퓨팅
474800,474800.KS,KIWOOM 미국원유에너지기업
104520,104520.KS,KIWOOM 블루칩
000015,000015.KS,KIWOOM 엔비디아미국30년국채혼합액티브(H)
483020,483020.KS,KIWOOM 의료AI
200250,200250.KS,KIWOOM 인도Nifty50(합성)
454780,454780.KS,KIWOOM 종합채권(AA-이상)액티브
441330,441330.KS,KIWOOM 차이나A50커넥트MSCI
454180,454180.KS,KIWOOM 차이나내수소비TOP CSI
496090,496090.KS,KIWOOM 코리아밸류업
316670,316670.KS,KIWOOM 코스닥150
291630,291630.KS,KIWOOM 코스닥150선물레버리지
291620,291620.KS,KIWOOM 코스닥150선물인버스
467540,467540.KS,KIWOOM 코스닥글로벌
153270,153270.KS,KIWOOM 코스피100
122260,122260.KS,KIWOOM 통안채1년
0015F0,0015F0.KS,KIWOOM 팔란티어미국30년국채혼합액티브(H)
069500,069500.KS,KODEX 200
226980,226980.KS,KODEX 200 중소형
337160,337160.KS,KODEX 200ESG
363580,363580.KS,KODEX 200IT TR
278530,278530.KS,KODEX 200TR
