code,tickers,name
501001,501001.SS,财通精选
501005,501005.SS,精准医疗
501006,501006.SS,精准医C
501007,501007.SS,互联医疗
501008,501008.SS,互联医C
501009,501009.SS,生物科技
501010,501010.SS,生物科C
501011,501011.SS,中药基金
501012,501012.SS,中药C
501015,501015.SS,财通升级
501016,501016.SS,券商基金
501017,501017.SS,国泰融丰
501018,501018.SS,南方原油
501019,501019.SS,军工基金
501021,501021.SS,香港中小
501022,501022.SS,银华鑫盛
501023,501023.SS,港中小企
501025,501025.SS,香港银行
501026,501026.SS,财通福享
501028,501028.SS,财通福瑞
501029,501029.SS,红利基金
501030,501030.SS,环境治理
501031,501031.SS,环境C
501032,501032.SS,财通福盛
501036,501036.SS,中证500A
501037,501037.SS,中证500C
501038,501038.SS,银华明择
501043,501043.SS,沪深300A
501045,501045.SS,沪深300C
501046,501046.SS,财通福鑫
501047,501047.SS,全指证券
501048,501048.SS,证券C
501050,501050.SS,50AH
501051,501051.SS,圆信汇利
501053,501053.SS,东证目优
501057,501057.SS,新能源车
501058,501058.SS,新能车C
501059,501059.SS,国企红利
501060,501060.SS,金选300A
501061,501061.SS,金选300C
501062,501062.SS,南方瑞合
501064,501064.SS,国泰价值
501065,501065.SS,经典成长
501070,501070.SS,广发睿阳
501071,501071.SS,泓德丰泽
501073,501073.SS,华安智联
501075,501075.SS,科创主题
501076,501076.SS,创新动力
501077,501077.SS,创新企业
501078,501078.SS,科创配置
501079,501079.SS,科创大成
501080,501080.SS,科创中金
501081,501081.SS,科创中欧
501082,501082.SS,科创投资
501083,501083.SS,科创银华
501085,501085.SS,科创财通
501087,501087.SS,交银瑞丰
501088,501088.SS,嘉实瑞虹
501089,501089.SS,消费增强
501090,501090.SS,消费基金
501091,501091.SS,嘉实欣荣
501092,501092.SS,交银瑞思
501093,501093.SS,华夏翔阳
501095,501095.SS,BOCI科创
501096,501096.SS,科创国联
501097,501097.SS,科创国寿
501098,501098.SS,科创建信
501099,501099.SS,新兴平安
501186,501186.SS,华夏兴融
501188,501188.SS,添富精选
501189,501189.SS,嘉实优选
501200,501200.SS,科创加银
501201,501201.SS,科创红土
501202,501202.SS,创新华泰
501203,501203.SS,易基未来
501205,501205.SS,鹏华创新
501206,501206.SS,添富创新
501207,501207.SS,华夏创新
501208,501208.SS,中欧创新
501209,501209.SS,富久LOF
501210,501210.SS,智选FOF
501211,501211.SS,优享FOF
501212,501212.SS,优选配置
501213,501213.SS,中欧汇选
501215,501215.SS,积极FOF
501216,501216.SS,行业精选
501217,501217.SS,行业FOF
501218,501218.SS,睿智FOF
501219,501219.SS,智胜先锋
501220,501220.SS,行业轮动
501222,501222.SS,如意招享
501225,501225.SS,全球芯片
501300,501300.SS,美元债
501301,501301.SS,香港大盘
501302,501302.SS,恒生联接
501303,501303.SS,恒生中型
501305,501305.SS,港股高息
501306,501306.SS,港股高C
501307,501307.SS,红利LOF
501310,501310.SS,价值基金
501311,501311.SS,新经济HK
501312,501312.SS,海外科技
502000,502000.SS,500增强
502003,502003.SS,军工LOF
502006,502006.SS,国企改革
502010,502010.SS,证券LOF
502013,502013.SS,一带一路
502023,502023.SS,钢铁LOF
502048,502048.SS,50LOF
502053,502053.SS,券商LOF
502056,502056.SS,医疗基金
506000,506000.SS,科创板基
506001,506001.SS,万家科创
506002,506002.SS,易基科创
506003,506003.SS,富国科创
506005,506005.SS,科创板BS
506006,506006.SS,添富科创
506008,506008.SS,科创长城
508000,508000.SS,张江REIT
508001,508001.SS,浙江杭徽
508002,508002.SS,百联消费
508003,508003.SS,中金联东
508005,508005.SS,首创奥莱
508006,508006.SS,首创水务
508007,508007.SS,山东高速
508008,508008.SS,铁建REIT
508009,508009.SS,安徽交控
508010,508010.SS,重庆两江
508011,508011.SS,物美消费
508012,508012.SS,招商科创
508015,508015.SS,明阳REIT
508017,508017.SS,金茂商业
508018,508018.SS,中交REIT
508019,508019.SS,湖北科投
508021,508021.SS,临港REIT
508022,508022.SS,津开产园
508026,508026.SS,电建清源
508027,508027.SS,东吴苏园
508028,508028.SS,国家电投
508031,508031.SS,城投宽庭
508033,508033.SS,深高REIT
508036,508036.SS,甬交REIT
508048,508048.SS,外高REIT
508055,508055.SS,地产租住
508056,508056.SS,普洛斯
508058,508058.SS,厦门安居
508066,508066.SS,苏交REIT
508068,508068.SS,京保REIT
508069,508069.SS,南京交通
508077,508077.SS,华润有巢
508078,508078.SS,易商仓储
508084,508084.SS,九州通R
508086,508086.SS,河北高速
508087,508087.SS,济南能源
508088,508088.SS,东久REIT
508089,508089.SS,特变REIT
508092,508092.SS,金隅智造
508096,508096.SS,京能光伏
508097,508097.SS,建邺REIT
508098,508098.SS,京东仓储
508099,508099.SS,中关村
510010,510010.SS,治理ETF
510020,510020.SS,超大ETF
510030,510030.SS,价值ETF
510040,510040.SS,上证180E
510050,510050.SS,50ETF
510060,510060.SS,央企ETF
510090,510090.SS,ESG建信
510100,510100.SS,SZ50ETF
510130,510130.SS,中盘ETF
510150,510150.SS,消费ETF
510160,510160.SS,产业升级
510170,510170.SS,商品ETF
510180,510180.SS,180ETF
510190,510190.SS,上证50基
510200,510200.SS,上证券商
510210,510210.SS,综指ETF
510230,510230.SS,金融ETF
510270,510270.SS,国企ETF
510290,510290.SS,380ETF
510300,510300.SS,300ETF
510310,510310.SS,HS300ETF
510330,510330.SS,华夏300
510350,510350.SS,工银300
510360,510360.SS,广发300
510370,510370.SS,兴业300
510380,510380.SS,国寿300
510390,510390.SS,平安300
510410,510410.SS,资源ETF
510500,510500.SS,500ETF
510510,510510.SS,广发500
510530,510530.SS,工银500
510550,510550.SS,方正500
510560,510560.SS,国寿500
510570,510570.SS,兴业500
510580,510580.SS,ZZ500ETF
510590,510590.SS,平安500
510600,510600.SS,沪50ETF
510630,510630.SS,消费30
510650,510650.SS,金融行业
510660,510660.SS,医药行业
510680,510680.SS,万家50
510710,510710.SS,上50ETF
510720,510720.SS,红利国泰
510760,510760.SS,上证ETF
510770,510770.SS,G60创新
510800,510800.SS,上证50
510810,510810.SS,上海国企
510850,510850.SS,工银上50
510880,510880.SS,红利ETF
510900,510900.SS,H股ETF
510950,510950.SS,上证广发
510980,510980.SS,上证综合
510990,510990.SS,ESG180
511010,511010.SS,国债ETF
511020,511020.SS,活跃国债
511030,511030.SS,公司债
511060,511060.SS,5年地债
511070,511070.SS,沪公司债
511090,511090.SS,30年国债
511100,511100.SS,基准国债
511110,511110.SS,公司债易
511130,511130.SS,国债30年
511160,511160.SS,国债东财
511180,511180.SS,上证转债
511190,511190.SS,信用债
511200,511200.SS,信用债基
511220,511220.SS,城投ETF
511260,511260.SS,十年国债
511270,511270.SS,10年地债
511360,511360.SS,短融ETF
511380,511380.SS,转债ETF
511520,511520.SS,政金债
511580,511580.SS,国债政金
511600,511600.SS,货币ETF
511620,511620.SS,货币基金
511650,511650.SS,华夏快线
511660,511660.SS,建信添益
511670,511670.SS,华泰天金
511690,511690.SS,交易货币
511700,511700.SS,场内货币
511770,511770.SS,金鹰增益
511800,511800.SS,易货币
511810,511810.SS,理财金H
511820,511820.SS,鹏华添利
511830,511830.SS,华泰货币
511850,511850.SS,财富宝E
511860,511860.SS,博时货币
511880,511880.SS,银华日利
511900,511900.SS,富国货币
511910,511910.SS,融通货币
511920,511920.SS,广发货币
511930,511930.SS,国联日盈
511950,511950.SS,广发添利
511960,511960.SS,嘉实快线
511970,511970.SS,国寿货币
511980,511980.SS,现金添富
511990,511990.SS,华宝添益
512000,512000.SS,券商ETF
512010,512010.SS,医药ETF
512020,512020.SS,A500
512040,512040.SS,国信价值
512050,512050.SS,A500E
512070,512070.SS,证券保险
512080,512080.SS,A500中金
512090,512090.SS,MSCI易基
512100,512100.SS,1000ETF
512120,512120.SS,医药50
512150,512150.SS,A50ETF
512160,512160.SS,MSCI基金
512170,512170.SS,医疗ETF
512180,512180.SS,建信MSCI
512190,512190.SS,之江凤凰
512200,512200.SS,地产ETF
512220,512220.SS,TMTETF
512260,512260.SS,500低波
512280,512280.SS,景顺MSCI
512290,512290.SS,生物医药
512330,512330.SS,信息ETF
512360,512360.SS,MSCI国际
512380,512380.SS,MSCI中国
512390,512390.SS,MSCI低波
512400,512400.SS,有色ETF
512480,512480.SS,半导体
512500,512500.SS,中证500
512510,512510.SS,ETF500
512520,512520.SS,MSCIETF
512530,512530.SS,300红利
512550,512550.SS,A50基金
512560,512560.SS,中证军工
512570,512570.SS,中证证券
512580,512580.SS,环保ETF
512600,512600.SS,必选消费
512640,512640.SS,金融地产
512650,512650.SS,长三角
512660,512660.SS,军工ETF
512670,512670.SS,国防ETF
512680,512680.SS,军工基金
512690,512690.SS,酒ETF
512700,512700.SS,银行基金
512710,512710.SS,军工龙头
512720,512720.SS,计算机
512730,512730.SS,银行FUND
512750,512750.SS,基本面50
512760,512760.SS,芯片ETF
512770,512770.SS,战略新兴
512800,512800.SS,银行ETF
512810,512810.SS,国防军工
512820,512820.SS,银行股基
512870,512870.SS,杭州湾区
512880,512880.SS,证券ETF
512890,512890.SS,红利低波
512900,512900.SS,证券基金
512910,512910.SS,100ETF
512930,512930.SS,AIETF
512950,512950.SS,央企改革
512960,512960.SS,央调ETF
512970,512970.SS,湾区ETF
512980,512980.SS,传媒ETF
512990,512990.SS,MSCIA股
513000,513000.SS,225ETF
513010,513010.SS,港股科技
513020,513020.SS,科技HK
513030,513030.SS,德国ETF
513040,513040.SS,HK互联网
513050,513050.SS,中概互联
513060,513060.SS,恒生医疗
513070,513070.SS,HK消费50
513080,513080.SS,法国ETF
513090,513090.SS,香港证券
513100,513100.SS,纳指ETF
513110,513110.SS,纳指100
513120,513120.SS,HK创新药
513130,513130.SS,恒生科技
513140,513140.SS,港股金融
513150,513150.SS,港科技50
513160,513160.SS,科技30
513170,513170.SS,恒生央企
513180,513180.SS,恒指科技
513190,513190.SS,H股金融
513200,513200.SS,港股医药
513210,513210.SS,恒生E
513220,513220.SS,互联网30
513230,513230.SS,H股消费
513260,513260.SS,恒科技
513280,513280.SS,恒生生物
513290,513290.SS,纳指生物
513300,513300.SS,纳斯达克
513310,513310.SS,中韩芯片
513320,513320.SS,HK新经济
513330,513330.SS,恒生互联
513350,513350.SS,油气ETF
513360,513360.SS,教育ETF
519800,519800.SS,保证金A
519801,519801.SS,保证金B
519858,519858.SS,广发宝A
519859,519859.SS,广发宝B
519878,519878.SS,国保A
519879,519879.SS,国保B
519888,519888.SS,添富快线
519889,519889.SS,添富快B
519898,519898.SS,现金宝A
519899,519899.SS,现金宝B
520500,520500.SS,恒生新药
520520,520520.SS,HK消费
520550,520550.SS,红利恒生
520580,520580.SS,新兴亚洲
520600,520600.SS,汽车港股
520660,520660.SS,港红利NF
520700,520700.SS,创新药WJ
520830,520830.SS,沙特ETF
520890,520890.SS,港红利
520900,520900.SS,红利香港
520990,520990.SS,国新红利
530000,530000.SS,50ETF基
530050,530050.SS,SH50ETF
530080,530080.SS,180指基
530180,530180.SS,上证180
530280,530280.SS,180ETF指
530300,530300.SS,180指数
530580,530580.SS,180基金
530680,530680.SS,180E
530800,530800.SS,上180ETF
530880,530880.SS,上证红利
560000,560000.SS,智慧电车
560010,560010.SS,1000基金
560020,560020.SS,红利添富
560030,560030.SS,800价值
560050,560050.SS,MSCIA50
560060,560060.SS,碳中和基
560070,560070.SS,央企分红
560080,560080.SS,中药ETF
560090,560090.SS,证券指数
560100,560100.SS,增强ETF
560110,560110.SS,ZZ1000
560150,560150.SS,红利TK
560170,560170.SS,央企科技
560180,560180.SS,ESG300
560190,560190.SS,公用事业
560220,560220.SS,2000基金
560260,560260.SS,医疗50
560280,560280.SS,工程机械
560300,560300.SS,电信50
560330,560330.SS,300价值E
560350,560350.SS,A50指数
560360,560360.SS,软件指数
560380,560380.SS,A100
560500,560500.SS,500质量
560510,560510.SS,中证A500
560520,560520.SS,红利大成
560530,560530.SS,A500ETF
560550,560550.SS,碳中和
560560,560560.SS,碳中和TK
560580,560580.SS,电力指基
560590,560590.SS,1000鹏华
560610,560610.SS,A500指数
560620,560620.SS,公用WJ
560650,560650.SS,核心50
560660,560660.SS,云50ETF
560680,560680.SS,龙头消费
560690,560690.SS,电信主题
560700,560700.SS,央红利50
560750,560750.SS,A500申万
560780,560780.SS,半导设备
560800,560800.SS,数字ETF
560810,560810.SS,央企ESG
560850,560850.SS,信创50
560860,560860.SS,工业有色
560880,560880.SS,家电基金
560890,560890.SS,红利DB
560900,560900.SS,创新药企
560950,560950.SS,500增
560960,560960.SS,碳60ETF
560980,560980.SS,光伏龙头
560990,560990.SS,科技先锋
561000,561000.SS,300指增
561010,561010.SS,软件开发
561060,561060.SS,红利国企
561100,561100.SS,电子龙头
561120,561120.SS,家电ETF
561130,561130.SS,国货ETF
561160,561160.SS,锂电池
561170,561170.SS,绿电50
561180,561180.SS,A100ETF
561190,561190.SS,双碳ETF
561200,561200.SS,A100基金
561230,561230.SS,A50
561260,561260.SS,能源ETF
561280,561280.SS,增强1000
561300,561300.SS,300增ETF
561310,561310.SS,消电ETF
561320,561320.SS,交运ETF
561330,561330.SS,矿业ETF
561350,561350.SS,国泰500
561360,561360.SS,石油ETF
561370,561370.SS,2000ETF
561380,561380.SS,电网ETF
561500,561500.SS,漂亮50
561510,561510.SS,中医药
561550,561550.SS,500指增
561560,561560.SS,电力ETF
561570,561570.SS,油气基金
561580,561580.SS,央企红利
561590,561590.SS,1000增强
561600,561600.SS,消费电子
561700,561700.SS,电力基金
561760,561760.SS,油气博时
561780,561780.SS,1000指增
561790,561790.SS,现代能源
561800,561800.SS,稀金属
561880,561880.SS,A100指数
561900,561900.SS,沪深ESG
561910,561910.SS,电池ETF
561920,561920.SS,疫苗龙头
561930,561930.SS,招商300
561950,561950.SS,500增强A
561960,561960.SS,央企回报
561980,561980.SS,芯片设备
561990,561990.SS,300增强
562000,562000.SS,中证A100
562010,562010.SS,绿色能源
562030,562030.SS,信创基金
562060,562060.SS,标普红利
562260,562260.SS,汽配ETF
562300,562300.SS,低碳ETF
562310,562310.SS,300成长
562320,562320.SS,300价值A
562330,562330.SS,500价值
562340,562340.SS,500成长
562350,562350.SS,电力
562360,562360.SS,机器人YH
562380,562380.SS,科技引领
562390,562390.SS,中药
562500,562500.SS,机器人
562510,562510.SS,旅游ETF
562520,562520.SS,1000成长
562530,562530.SS,1000价值
562550,562550.SS,绿电ETF
562560,562560.SS,信息技术
562570,562570.SS,信创ETF
562580,562580.SS,可选消费
562590,562590.SS,半导材料
562600,562600.SS,医疗器械
562660,562660.SS,ZZ2000
562700,562700.SS,汽车零件
562800,562800.SS,稀有金属
562810,562810.SS,上证增强
562820,562820.SS,集成电路
562850,562850.SS,央企能源
562860,562860.SS,生物疫苗
562880,562880.SS,电池基金
562890,562890.SS,A50中证
562900,562900.SS,现代农业
562910,562910.SS,高端制造
562920,562920.SS,信息安全
562930,562930.SS,软件30
562950,562950.SS,消电50
562960,562960.SS,绿色电力
562970,562970.SS,光伏E
562990,562990.SS,碳中和E
563000,563000.SS,中国A50
563010,563010.SS,电信ETF
563020,563020.SS,低波红利
563030,563030.SS,增强500
563050,563050.SS,科技央企
563080,563080.SS,中证A50E
563090,563090.SS,上50增强
563150,563150.SS,油气资源
563180,563180.SS,高股息
563200,563200.SS,2000指数
563210,563210.SS,专精特新
563220,563220.SS,A500富国
563280,563280.SS,A50增强
563300,563300.SS,中证2000
563330,563330.SS,A股ETF
563350,563350.SS,中证A50
563360,563360.SS,A500基金
563500,563500.SS,A500华宝
563520,563520.SS,300永赢
563800,563800.SS,A500龙头
563860,563860.SS,A500海富
563880,563880.SS,A500添富
588000,588000.SS,科创50
588010,588010.SS,科创材料
588020,588020.SS,科创50E
588030,588030.SS,科创指基
588050,588050.SS,科创ETF
588060,588060.SS,上证科创
588070,588070.SS,科创万家
588080,588080.SS,科创板50
588090,588090.SS,科创板
588100,588100.SS,科创信息
588110,588110.SS,科创成长
588120,588120.SS,科100ETF
588150,588150.SS,科创龙头
588160,588160.SS,科创新材
588180,588180.SS,科创50基
588190,588190.SS,科创100
588200,588200.SS,科创芯片
588210,588210.SS,科创100E
588220,588220.SS,科创100F
588230,588230.SS,科创200
588240,588240.SS,科200
588250,588250.SS,KC医药
588260,588260.SS,科创技术
588280,588280.SS,科创五零
588290,588290.SS,芯片科创
588300,588300.SS,双创ETF
588310,588310.SS,双创基金
588320,588320.SS,双创增强
588330,588330.SS,双创龙头
588350,588350.SS,双创
588360,588360.SS,创创ETF
588370,588370.SS,科创策略
588380,588380.SS,创50ETF
588390,588390.SS,科创创业
